index	cluster	name	Day	.epred	class	color_epred
869	I	fimE	1	0.6304043142508375	up	0.6304043142508375
869	I	fimE	10	2.0764226536918153	zero	NA
339	I	cobT	1	0.5898906350735663	up	0.5898906350735663
339	I	cobT	10	1.9479737083836917	zero	NA
408	I	ilvI	1	0.4532059500548634	zero	NA
408	I	ilvI	10	1.486501979446072	zero	NA
489	I	acrA	1	0.5590199510032715	up	0.5590199510032715
489	I	acrA	10	1.7714555844792208	zero	NA
1050	I	ykgE	1	0.4999770115449926	up	0.4999770115449926
1050	I	ykgE	10	1.5678301053897457	up	1.5678301053897457
859	I	yadE	1	0.5507911265674059	up	0.5507911265674059
859	I	yadE	10	1.9542047649116239	zero	NA
95	I	adeQ	1	0.5301218370605694	up	0.5301218370605694
95	I	adeQ	10	1.7832448646378545	zero	NA
456	I	tldE	1	0.4941158067545245	zero	NA
456	I	tldE	10	1.6853480635417226	zero	NA
330	I	dctA	1	0.4107981169016966	zero	NA
330	I	dctA	10	1.417353097536133	zero	NA
1039	I	gntU	1	0.39231745254568423	zero	NA
1039	I	gntU	10	1.49766584123433	zero	NA
501	I	hcp	1	0.7648017592475572	zero	NA
501	I	hcp	10	3.410876729167081	zero	NA
999	I	glpT	1	0.601621486095407	zero	NA
999	I	glpT	10	2.9314161790904443	zero	NA
717	I	wbbI	1	0.3298468585707558	up	0.3298468585707558
717	I	wbbI	10	1.5630772036062808	zero	NA
60	I	yaaJ	1	0.45052122476891077	up	0.45052122476891077
60	I	yaaJ	10	2.3951372718720534	up	2.3951372718720534
23	I	yhgE	1	0.37064606545803264	up	0.37064606545803264
23	I	yhgE	10	1.9313961029356035	zero	NA
797	I	aceA	1	0.3264724409122509	up	0.3264724409122509
797	I	aceA	10	1.6989495907267755	up	1.6989495907267755
1103	I	purF	1	0.46156430908316903	zero	NA
1103	I	purF	10	2.3252583192128102	up	2.3252583192128102
837	I	ugpC	1	0.3948333118265832	zero	NA
837	I	ugpC	10	1.9946608359554083	zero	NA
314	I	dgoT	1	0.32287434180391184	up	0.32287434180391184
314	I	dgoT	10	1.6337227114704647	zero	NA
375	I	fecB	1	0.2767185696278725	up	0.2767185696278725
375	I	fecB	10	1.537876977930542	up	1.537876977930542
1288	I	metI	1	0.34653924581638423	zero	NA
1288	I	metI	10	2.4055247322319935	zero	NA
789	I	ybjM	1	0.27923596596996414	up	0.27923596596996414
789	I	ybjM	10	1.9585129837692772	up	1.9585129837692772
994	I	mpl	1	0.26925029298662384	up	0.26925029298662384
994	I	mpl	10	1.8473704170942093	up	1.8473704170942093
655	I	yfaY	1	0.24739396644836678	zero	NA
655	I	yfaY	10	1.8177234384876428	zero	NA
177	I	yicG	1	0.30108588085578675	up	0.30108588085578675
177	I	yicG	10	1.9575451534398365	up	1.9575451534398365
794	I	yjgX	1	0.22372703388698975	zero	NA
794	I	yjgX	10	1.430417280437326	up	1.430417280437326
690	I	alsA	1	0.24842244446168235	zero	NA
690	I	alsA	10	1.5029289911055166	zero	NA
232	I	yhjB	1	0.05667526306469611	up	0.05667526306469611
232	I	yhjB	10	2.3281783732280656	zero	NA
94	I	araE	1	0.08919049724799576	up	0.08919049724799576
94	I	araE	10	2.275082193834381	zero	NA
1387	I	yihX	1	0.054386045315992594	zero	NA
1387	I	yihX	10	1.5714040554958797	zero	NA
1012	I	ptsA	1	0.09803300576065743	zero	NA
1012	I	ptsA	10	1.97280832622993	up	1.97280832622993
1220	I	yejK	1	0.185468493704521	zero	NA
1220	I	yejK	10	1.9008921975854476	up	1.9008921975854476
805	I	glnL	1	0.17623134720979303	up	0.17623134720979303
805	I	glnL	10	1.6711412607642078	up	1.6711412607642078
186	I	yneO	1	0.1282064466452914	up	0.1282064466452914
186	I	yneO	10	1.6670539331505188	zero	NA
514	I	yheS	1	0.11949302028367026	zero	NA
514	I	yheS	10	1.388011351854435	zero	NA
209	I	tnaB	1	0.01878863838951842	up	0.01878863838951842
209	I	tnaB	10	2.1174714826487233	zero	NA
930	I	cusF	1	-0.04368957705375089	down	-0.04368957705375089
930	I	cusF	10	1.8307670130143145	zero	NA
257	I	dtpB	1	-0.08603659836413761	down	-0.08603659836413761
257	I	dtpB	10	1.9418955354637812	up	1.9418955354637812
121	I	melB	1	-0.11222315662611822	down	-0.11222315662611822
121	I	melB	10	1.7541923994726116	zero	NA
1411	I	dkgA	1	2.23172782267779	zero	NA
1411	I	dkgA	10	1.234900441082167	zero	NA
989	I	frmA	1	1.8475757154521097	zero	NA
989	I	frmA	10	1.0169957322278347	zero	NA
1309	I	yafC	1	1.9268225309650675	zero	NA
1309	I	yafC	10	1.0739443037656438	up	1.0739443037656438
1456	I	hycD	1	1.4083372316192149	up	1.4083372316192149
1456	I	hycD	10	0.7840235538140544	zero	NA
1458	I	truC	1	1.5047231316308078	up	1.5047231316308078
1458	I	truC	10	0.8435213049530356	up	0.8435213049530356
1071	I	psuT	1	1.2943572150177056	zero	NA
1071	I	psuT	10	0.7248048400661223	up	0.7248048400661223
991	I	yidG	1	1.1607715850042035	up	1.1607715850042035
991	I	yidG	10	0.6302040202674698	zero	NA
69	I	bglB	1	1.0214996615661225	zero	NA
69	I	bglB	10	0.5536778745695395	up	0.5536778745695395
1180	I	ynbC	1	1.0819509916016887	up	1.0819509916016887
1180	I	ynbC	10	0.589961360390968	zero	NA
843	I	nanQ	1	2.7816454439152314	up	2.7816454439152314
843	I	nanQ	10	1.4148348304967586	zero	NA
546	I	mioC	1	2.1283954132226444	up	2.1283954132226444
546	I	mioC	10	1.0835027731785885	zero	NA
141	I	bax	1	1.9914600662479591	up	1.9914600662479591
141	I	bax	10	1.0164488164989263	zero	NA
318	I	yoaB	1	1.4121809134400343	up	1.4121809134400343
318	I	yoaB	10	0.7153799587164817	up	0.7153799587164817
1337	I	narP	1	1.2893650509903072	up	1.2893650509903072
1337	I	narP	10	0.6525699075004956	zero	NA
342	I	tsuA	1	1.1975554556630645	up	1.1975554556630645
342	I	tsuA	10	0.6077065447467306	zero	NA
985	I	ubiJ	1	2.8492356875082625	up	2.8492356875082625
985	I	ubiJ	10	1.4686618439128871	zero	NA
1343	I	ulaE	1	1.9794921825404779	up	1.9794921825404779
1343	I	ulaE	10	1.0185696014228685	up	1.0185696014228685
766	I	cdaR	1	1.0261468483231955	up	1.0261468483231955
766	I	cdaR	10	0.5281689049125229	zero	NA
1330	I	ysaD	1	1.4809520805275498	zero	NA
1330	I	ysaD	10	0.761646522793319	zero	NA
457	I	yfaL	1	0.8225149176524605	up	0.8225149176524605
457	I	yfaL	10	0.4254735582997348	up	0.4254735582997348
